Reference;Specie;Infection;n_infection;n_tested_infection;Dissemination_among_infected;n_dissemination_among_infected;n_tested_dissemination_among_infected;Dissemination;n_dissemination;n_tested_dissemination;Transmission_among_infected;n_transmission_among_infected;n_tested_transmission_among_infected;Transmission;n_transmission;n_tested_transmission;Status_of_Mosquitoes_tested_for_transmission;dpe_infection;dpe_infection_cat;dpe_dissemination;dpe_dissemination_cat;dpe_transmission;dpe_transmission_cat;Temperature;Temperature_class;Blood_meal_titer(log10pfu/ml);blood_meal_titer2;blood_meal_titer_class;Viral_strain;Country;Generation;Generation_cat
Faran et al., 1988;Cx. pipiens;100;27;27;25.9;7;27;25.9;7;27;100;7;7;25.9;7;27;disseminated;11;2w;11;2w;11;2w;25-27°C;>25°C;4,4 -> 5,7 log10 PFU ingested/mosquito;6,9 to 8,2;high;ZH501;Egypt;F48-F64;>F5
Faran et al., 1988;Cx. pipiens;93.8;15;16;20;3;15;18.8;3;16;100;3;3;18.8;3;16;disseminated;12;2w;12;2w;12;2w;25-27°C;>25°C;4,4 -> 5,7 log10 PFU ingested/mosquito;6,9 to 8,2;high;ZH501;Egypt;F48-F64;>F5
Faran et al., 1988;Cx. pipiens;100;3;3;66.7;2;3;66.7;2;3;100;2;2;66.7;2;3;disseminated;14;2w;14;2w;14;2w;25-27°C;>25°C;4,4 -> 5,7 log10 PFU ingested/mosquito;6,9 to 8,2;high;ZH501;Egypt;F48-F64;>F5
Faran et al., 1988;Cx. pipiens;;;;;;;6;6;100;;;;;;;;;;0.5;1w;;;25-27°C;>25°C;6,7 log10 PFU ingested/mosquito;9.2;high;ZH501;Egypt;F48-F64;>F5
Faran et al., 1988;Cx. pipiens;;;;;;;9;9;100;;;;;;;;;;1;1w;;;25-27°C;>25°C;6,7 log10 PFU ingested/mosquito;9.2;high;ZH501;Egypt;F48-F64;>F5
Faran et al., 1988;Cx. pipiens;;;;;;;22;22;100;;;;;;;;;;2;1w;;;25-27°C;>25°C;6,7 log10 PFU ingested/mosquito;9.2;high;ZH501;Egypt;F48-F64;>F5
Moutailler et al., 2010;Ae. vexans;;;;;;;29.3;54;184;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Germany;Colony;>F5
Moutailler et al., 2010;Ae. vexans;;;;;;;24.7;61;247;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Germany;Colony;>F5
Moutailler et al., 2010;Ae. vexans;;;;;;;29;133;459;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Germany;Colony;>F5
Turell et al., 1991;Cx. pipiens;;;;;;;;;;100;9;9;;;;inoculated;7;1w;7;1w;7;1w;26°C;>25°C;1 PFU;1 PFU;NA;RVF MP-12;Egypt;F52-F119;>F5
Turell et al., 1991;Cx. pipiens;;;;;;;;;;100;6;6;;;;inoculated;7;1w;7;1w;7;1w;26°C;>25°C;1 PFU;1 PFU;NA;T1;Egypt;F52-F119;>F5
Turell et al., 1991;Cx. pipiens;;;;;;;;;;100;7;7;;;;inoculated;7;1w;7;1w;7;1w;26°C;>25°C;1 PFU;1 PFU;NA;ZH501;Egypt;F52-F119;>F5
Turell et al., 1991;Cx. pipiens;41.3;26;63;15.4;4;26;6.4;4;63;100;2;2;3.3;2;60;disseminated;7;1w;7;1w;7;1w;26°C;>25°C;10^4,1 PFU ingested;6.6;medium;RVF MP-12;Egypt;F52-F119;>F5
Turell et al., 1991;Cx. pipiens;39.7;23;58;4.3;1;23;1.7;1;58;NA;NA;NA;0;0;53;disseminated;7;1w;7;1w;7;1w;26°C;>25°C;10^4,1 PFU ingested;6.6;medium;ZH501;Egypt;F52-F119;>F5
Turell et al., 1991;Cx. pipiens;27.7;13;47;0;0;13;0;0;47;NA;NA;NA;0;0;47;disseminated;7;1w;7;1w;7;1w;26°C;>25°C;10^2 PFU ingested;4.5;medium;T1;Egypt;F52-F119;>F5
Turell et al, 1985;Cx. pipiens;;;;;;;;;;80;28;35;;;;inoculated;;;;;10->28;2_to_4w;13°C;<20°C;2 log10PFU;2 log10PFU;NA;ZH501;Egypt;F35, F45, F46;>F5
Turell et al, 1985;Cx. pipiens;;;;;;;;;;92.3;36;39;;;;inoculated;;;;;6->28;1_to_4w;15°C;<20°C;2 log10PFU;2 log10PFU;NA;ZH501;Egypt;F35, F45, F46;>F5
Turell et al, 1985;Cx. pipiens;;;;;;;;;;100;13;13;;;;inoculated;;;;;3->28;1_to_4w;13-26°C;13 then 26°C;2 log10PFU;2 log10PFU;NA;ZH501;Egypt;F35, F45, F46;>F5
Turell et al, 1985;Cx. pipiens;;;;;;;;;;100;8;8;;;;inoculated;;;;;2->28;1_to_4w;20°C;20-25°C;2 log10PFU;2 log10PFU;NA;ZH501;Egypt;F35, F45, F46;>F5
Turell et al, 1985;Cx. pipiens;;;;;;;;;;100;37;37;;;;inoculated;;;;;2->28;1_to_4w;13-26°C;13 then 26°C;2 log10PFU;2 log10PFU;NA;ZH501;Egypt;F35, F45, F46;>F5
Turell et al, 1985;Cx. pipiens;;;;;;;;;;100;20;20;;;;inoculated;;;;;1->28;1_to_4w;26°C;>25°C;2 log10PFU;2 log10PFU;NA;ZH501;Egypt;F35, F45, F46;>F5
Turell et al., 2014;Cx. pipiens;80;8;10;25;2;8;20;2;10;;;;;;;;7;1w;7;1w;;;26°C;>25°C;7.5;7.5;high;ZH501;USA;F>180;>F5
Turell et al., 2014;Cx. pipiens;0;0;5;NA;NA;NA;0;0;5;;;;;;;;7;1w;7;1w;;;26°C;>25°C;7.5;7.5;high;ZH501;USA;F18;>F5
